dialogue_id,predicted_class,predicted_label,confidence
20180719-211253_768_live,0,expressed_donate_did,0.8239021301269531
20180723-034109_263_live,1,expressed_donate_donated,0.973723292350769
20180723-055038_776_live,1,expressed_donate_donated,0.9755228161811829
20180723-082451_335_live,0,expressed_donate_did,0.9299633979797364
20180723-091508_49_live,0,expressed_donate_did,0.932323694229126
20180723-121545_265_live,0,expressed_donate_did,0.9378074288368226
20180808-004203_194_live,0,expressed_donate_did,0.9194364190101624
20180808-030338_328_live,1,expressed_donate_donated,0.9747679233551025
20180808-043445_804_live,1,expressed_donate_donated,0.9770355582237243
20180808-063034_444_live,3,no_express_no_donate,0.9036427497863769
20180808-064649_236_live,0,expressed_donate_did,0.9260390996932983
20180808-074917_388_live,0,expressed_donate_did,0.9385477781295777
20180824-121026_498_live,0,expressed_donate_did,0.9365761876106262
20180825-043516_619_live,3,no_express_no_donate,0.9043459177017212
20180825-045559_409_live,0,expressed_donate_did,0.9169444680213928
20180825-062219_874_live,1,expressed_donate_donated,0.9606998562812805
20180825-063117_677_live,1,expressed_donate_donated,0.9696816325187683
20180825-070900_49_live,1,expressed_donate_donated,0.9768926501274109
20180825-073813_141_live,0,expressed_donate_did,0.8371218204498291
20180825-074318_984_live,1,expressed_donate_donated,0.9770816445350647
20180825-084657_775_live,0,expressed_donate_did,0.9191052913665771
20180825-090032_956_live,0,expressed_donate_did,0.8719083905220032
20180825-092012_333_live,3,no_express_no_donate,0.976076528429985
20180825-112615_516_live,1,expressed_donate_donated,0.9502569317817688
20180826-013036_595_live,1,expressed_donate_donated,0.9540704011917114
20180826-023807_40_live,1,expressed_donate_donated,0.9725202083587646
20180826-061500_476_live,0,expressed_donate_did,0.9142293691635132
20180826-175706_443_live,3,no_express_no_donate,0.9787591248750687
20180826-181742_58_live,0,expressed_donate_did,0.922230327129364
20180826-181903_395_live,0,expressed_donate_did,0.937867033481598
20180826-184708_183_live,1,expressed_donate_donated,0.9693209230899811
20180826-190151_488_live,0,expressed_donate_did,0.9391325950622559
20180826-193546_146_live,0,expressed_donate_did,0.9064337015151978
20180826-194841_403_live,1,expressed_donate_donated,0.9132455468177796
20180826-204907_535_live,1,expressed_donate_donated,0.9614605069160461
20180827-032811_159_live,1,expressed_donate_donated,0.9735427498817444
20180827-034916_910_live,1,expressed_donate_donated,0.9093671321868897
20180827-041027_973_live,0,expressed_donate_did,0.9228283762931824
20180829-082113_449_live,1,expressed_donate_donated,0.9121369957923889
20180903-134122_237_live,3,no_express_no_donate,0.7878714561462402
20180904-073734_888_live,0,expressed_donate_did,0.9395705223083496
